企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比,富豪占比,财富集中度
输配电设备,2,155.0,77.5,董增平,0.07,0.18,77.5
高密度印制电路板,2,155.0,77.5,陈涛,0.07,0.18,77.5
护肤品,2,155.0,77.5,张立国,0.07,0.18,77.5
水泥、铝业,1,150.0,150.0,李留法,0.07,0.09,150.0
造船,1,150.0,150.0,任元林,0.07,0.09,150.0
风电,1,150.0,150.0,张雷,0.07,0.09,150.0
电梯、锅炉、房地产,1,150.0,150.0,王水福,0.07,0.09,150.0
动漫,1,150.0,150.0,蔡东青,0.07,0.09,150.0
光伏产品,1,145.0,145.0,高纪凡,0.07,0.09,145.0
网游、影视娱乐,1,145.0,145.0,池宇峰,0.07,0.09,145.0
服装、房地产、投资,1,145.0,145.0,李如成,0.07,0.09,145.0
基础建设、房地产,2,145.0,72.5,黄建勲,0.07,0.18,72.5
印制电路板,1,140.0,140.0,吴礼淦,0.07,0.09,140.0
轻纺、房地产、投资,1,140.0,140.0,周永利,0.07,0.09,140.0
工业电器、投资,1,140.0,140.0,南存辉,0.07,0.09,140.0
基因检测、医疗大数据,1,140.0,140.0,汪建,0.07,0.09,140.0
影视娱乐,1,140.0,140.0,王长田,0.07,0.09,140.0
建筑陶瓷,2,140.0,70.0,叶德林,0.07,0.18,70.0
新材料,2,138.0,69.0,寇晓康,0.07,0.18,69.0
服装零售,2,136.0,68.0,Allan Warburg,0.06,0.18,68.0
LED,1,135.0,135.0,林秀成,0.06,0.09,135.0
精密铸件,1,135.0,135.0,袁富根,0.06,0.09,135.0
生物医疗设备,1,135.0,135.0,董凡,0.06,0.09,135.0
电子商务、儿童用品连锁,1,135.0,135.0,汪建国,0.06,0.09,135.0
化工新材料,1,135.0,135.0,沈锡强,0.06,0.09,135.0
充电桩,2,132.0,66.0,丁锋,0.06,0.18,66.0
化工、农业、投资,2,131.0,65.5,徐冠巨,0.06,0.18,65.5
保健品,1,130.0,130.0,梁允超,0.06,0.09,130.0
教育、生物医药、房地产、投资,1,130.0,130.0,兰春,0.06,0.09,130.0
轮胎、电缆、化工,1,130.0,130.0,尚吉永,0.06,0.09,130.0
自动驾驶技术,2,130.0,65.0,彭军,0.06,0.18,65.0
珠光材料,1,130.0,130.0,谢秉昆,0.06,0.09,130.0
制药、医药流通,1,130.0,130.0,刘革新,0.06,0.09,130.0
防水材料,1,130.0,130.0,李卫国,0.06,0.09,130.0
医药制造业,2,126.0,63.0,苗拥军,0.06,0.18,63.0
基础设施建设、房地产,1,125.0,125.0,俞发祥,0.06,0.09,125.0
消费电子、电讯,1,125.0,125.0,任正非,0.06,0.09,125.0
CMOS图像传感器,1,125.0,125.0,赵立新,0.06,0.09,125.0
化工塑料,1,125.0,125.0,袁志敏,0.06,0.09,125.0
日化、投资,1,125.0,125.0,梁亮胜,0.06,0.09,125.0
钢铁、天然气,1,125.0,125.0,丁立国,0.06,0.09,125.0
钢铁、铁矿石进出口、房地产,1,125.0,125.0,吕慧,0.06,0.09,125.0
有色金属、钢铁、物流,1,125.0,125.0,李非列,0.06,0.09,125.0
食品、房地产,1,125.0,125.0,李伟,0.06,0.09,125.0
五金配件,1,125.0,125.0,林聪吉,0.06,0.09,125.0
区块链,2,123.0,61.5,李林,0.06,0.18,61.5
信息技术,2,123.0,61.5,唐晔,0.06,0.18,61.5
餐饮连锁,2,123.0,61.5,王斌,0.06,0.18,61.5
化学原料制品,1,120.0,120.0,徐金富,0.06,0.09,120.0
家禽养殖畜牧,1,120.0,120.0,温鹏程,0.06,0.09,120.0
食用调味品,1,120.0,120.0,孟庆山,0.06,0.09,120.0
煤炭、化工,1,120.0,120.0,杨雪岗,0.06,0.09,120.0
服装、橡胶轮胎、房地产,1,120.0,120.0,周耀庭,0.06,0.09,120.0
航天,2,117.0,58.5,康永来,0.06,0.18,58.5
电气设备,2,115.0,57.5,李海周,0.05,0.18,57.5
涂料,1,115.0,115.0,洪杰,0.05,0.09,115.0
汽车内饰,1,115.0,115.0,姜银台,0.05,0.09,115.0
节能灯,1,115.0,115.0,马秀慧,0.05,0.09,115.0
金融软件,1,115.0,115.0,黄山,0.05,0.09,115.0
机电设备,2,115.0,57.5,邱敏秀,0.05,0.18,57.5
建材家居,1,115.0,115.0,黄联禧,0.05,0.09,115.0
物流地产、投资,1,110.0,110.0,梅志明,0.05,0.09,110.0
化工、铜加工、电线电缆,1,110.0,110.0,刘洪林,0.05,0.09,110.0
贸易、房地产,1,110.0,110.0,胡兴荣,0.05,0.09,110.0
耐火材料、钢铁、矿业,1,110.0,110.0,何著胜,0.05,0.09,110.0
垃圾发电,1,110.0,110.0,项光明,0.05,0.09,110.0
化工原料,1,110.0,110.0,张宁,0.05,0.09,110.0
