胡润百富榜年份,排名,排名变化,财富(人民币/亿),财富(美元/百万),财富变化,个人信息_人物关系,个人信息_姓名_中文,个人信息_姓名_英文,个人信息_性别,个人信息_年龄,个人信息_照片URL,个人信息_籍贯_中文,个人信息_籍贯_英文,个人信息_出生地_中文,个人信息_出生地_英文,个人信息_常住地_中文,个人信息_常住地_英文,个人信息_教育程度_中文,个人信息_教育程度_英文,个人信息_毕业院校,个人信息_专业_中文,个人信息_专业_英文,企业信息_公司名称_中文,企业信息_公司名称_英文,企业信息_公司总部_中文,企业信息_公司总部_英文,企业信息_行业_中文,企业信息_行业_英文
2024,42,69,770.0,10800.0,83%,个人,钟慧娟,Zhong Huijuan,女,63,https://res.hurun.net/photo/001821_Zhong_Huijuan.jpg,,,,,中国-上海,China-Shanghai,,,未知,,,翰森,Hansoh,江苏连云港,Jiangsu,医药,Pharmaceuticals
2024,43,1,750.0,10600.0,-3%,个人,李泽楷,Richard Li Tzar Kai,男,58,https://res.hurun.net/default/icon_men.jpg,中国-广东-潮州,China-Guangdong-Chaozhou,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,,,未知,,,电讯盈科,PCCW,香港,Hong Kong,电信,Telecommunications
2024,44,11,730.0,10300.0,9%,个人,蔡浩宇,Cai Haoyu,男,37,https://res.hurun.net/default/icon_men.jpg,中国-山东-济南,China-Shandong-Jinan,中国-山东-济南,China-Shandong-Jinan,中国-上海,China-Shanghai,,,未知,,,米哈游,Mihoyo,上海,Shanghai,游戏,Online games
2024,45,26,720.0,10100.0,24%,家族,张聪渊,Zhang Congyuan,男,76,https://res.hurun.net/default/icon_men.jpg,,,中国-台湾-桃园,China-Taiwan-Taoyuan,中国-广东-中山,China-Guangdong-Zhongshan,,,未知,,,华利实业,Huali Industrial,广东中山,Guangdong,鞋业,Footwear
2024,46,-15,700.0,9860.0,-26%,夫妇,刘汉元,Liu Hanyuan,男,60,https://res.hurun.net/default/icon_men.jpg,中国-四川-成都,China-Sichuan-Chengdu,中国-四川-眉山,China - Sichuan-Meishan,中国-四川-成都,China - Sichuan-Chengdu,,,北大光华管理学院,,,通威,Tongwei,四川成都,Sichuan,新能源、农业,"New Energy, Agriculture"
2024,47,12,695.0,9790.0,10%,家族,林百里,Barry Lin Bai-Li,男,75,https://res.hurun.net/default/icon_men.jpg,,,中国-上海,China-Shanghai,中国-台湾-桃园,China-Taiwan-Taoyuan,,,未知,,,广达电脑,Quanta Computer,台湾桃园,Taiwan,消费电子产品,Consumer and Industry Electronics
2024,48,-11,690.0,9720.0,-20%,家族,刘永好,Liu Yonghao,男,73,https://res.hurun.net/photo/000026_Liu_Yonghao.jpg,中国-四川-成都,China-Sichuan-Chengdu,中国-四川-成都,China - Sichuan-Chengdu,中国-四川-成都,China - Sichuan-Chengdu,,,四川工程职业技术学院,,,新希望,New Hope,四川成都,Sichuan,农业、化工、金融,"Agriculture, Finance"
2024,49,37,680.0,9580.0,42%,个人,蔡崇信,Joseph Tsai Chung-Hsin,男,60,https://res.hurun.net/default/icon_men.jpg,,,中国-台湾,China-Taiwan,中国-香港,China-Hong Kong,,,未知,,,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech"
2024,50,0,670.0,9440.0,-4%,家族,陈东升,Chen Dongsheng,男,67,https://res.hurun.net/photo/000048_Chen_Dongsheng.jpg,中国-湖北-天门,China-Hubei-Tianmen,中国-湖北-荆门,China -Hubei - Jingmen,中国-北京,China-Beijing,博士,Doctorate,武大、武大,,,泰康,Taikang,北京,Beijing,保险,Insurance
2024,50,94,670.0,9440.0,97%,个人,项光达,Xiang Guangda,男,66,https://res.hurun.net/default/icon_men.jpg,,,中国-浙江-温州,China-Zhejiang-Wenzhou,中国-浙江-温州,China-Zhejiang-Wenzhou,,,未知,,,青山控股,Tsingshan,浙江温州,Zhejiang,钢铁,Steel
2024,50,9,670.0,9440.0,6%,个人,于泳,Yu Yong,男,未知,https://res.hurun.net/default/icon_men.jpg,,,,,中国-上海,China-Shanghai,,,未知,,,鸿商产业,Cathay Fortune,上海浦东,Shanghai,钼矿,Molybdenum Minerals
2024,50,35,670.0,9440.0,38%,家族,张国华,Chang Kuo-Hua,男,69,https://res.hurun.net/default/icon_men.jpg,中国-台湾-台北,China-Taiwan,中国-台湾-台北,China-Taiwan,中国-台湾-台北,China-Taiwan,,,未知,,,长荣集团,Evergreen,台湾台北,Taiwan,物流、钢铁,"Logistics,Iron"
2024,54,-8,665.0,9370.0,-8%,个人,邝肖卿,Kwong Siu Hing,女,95,https://res.hurun.net/default/icon_women.jpg,中国-广东-广州,China-Guangdong-Guangzhou,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,,,未知,,,新鸿基,Sun Hung Kai,香港,Hong Kong,房地产,Estate Holding
2024,55,9,650.0,9150.0,7%,个人,孙飘扬,Sun Piaoyang,男,66,https://res.hurun.net/photo/000005_Sun_Piaoyang.jpg,中国-江苏-镇江,China-Jiangsu-Jiang,中国-江苏-镇江,China-Jiangsu-Jiang,中国-上海,China-Shanghai,硕士,Master s,中国药科、南大,,,恒瑞,Hengrui,江苏连云港,Jiangsu,医药,Pharmaceuticals
2024,56,36,635.0,8940.0,40%,夫妇,周群飞,Zhou Qunfei,女,54,https://res.hurun.net/photo/000085_Zhou_Qunfei.jpg,中国-湖南-长沙,China-Hunan-Changsha,中国-湖南-湘潭,China-Hunan-Xiangtan,中国-湖南-长沙,China-Hunan-Changsha,,,未知,,,蓝思科技,Lens,湖南长沙,Hunan,电子器件制造,Manufacturing
2024,57,19,630.0,8870.0,17%,父女,王来胜,Wang Laisheng,男,60,https://res.hurun.net/default/icon_men.jpg,,,中国-广东-汕头,China-Guangdong-Shantou,中国-广东-深圳,China-Guangdong-Shenzhen,,,未知,,,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics
2024,57,9,630.0,8870.0,5%,家族,徐浩宇,Xu Haoyu,男,52,https://res.hurun.net/default/icon_men.jpg,中国-江苏-泰州,China-Jiangsu-Taizhou,中国-江苏-泰州,China-Jiangsu-Taizhou,中国-江苏-泰州,China-Jiangsu-Taizhou,,,未知,,,扬子江药业,Yangtze River Pharmacy,江苏泰州,Jiangsu,医药,Pharmaceuticals
2024,59,18,620.0,8730.0,17%,个人,王来春,Wang Laichun,女,57,https://res.hurun.net/default/icon_women.jpg,,,中国-广东-汕头,China-Guangdong-Shantou,中国-广东-深圳,China-Guangdong-Shenzhen,,,清华大学深圳研究生院,,,立讯精密,Luxshare Precision,广东深圳,Guangdong,消费电子,Consumer Electronics
2024,59,-1,620.0,8730.0,-3%,家族,朱保国,Zhu Baoguo,男,62,https://res.hurun.net/photo/000058_Zhu_Baoguo.jpg,,,中国-河南-新乡,China - Henan - Xinxiang,中国-广东-深圳,China-Guangdong-Shenzhen,硕士,Master s,河南师范、中央党校,,,健康元,Joint Care,广东深圳,Guangdong,医药,Pharmaceuticals
2024,61,-14,615.0,8660.0,-13%,夫妇,龚虹嘉,Gong Hongjia,男,59,https://res.hurun.net/photo/000034_Gong_Hongjia.jpg,,,,,中国-香港,China-Hong Kong,本科,Undergraduate,华中科技大学,,,海康威视,Hikvision,浙江杭州,Zhejiang,视频监控产品,Video Surveillance Products
