企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比
食品、房地产,1,125.0,125.0,李伟,0.06
五金配件,1,125.0,125.0,林聪吉,0.06
区块链,2,123.0,61.5,李林,0.06
信息技术,2,123.0,61.5,唐晔,0.06
餐饮连锁,2,123.0,61.5,王斌,0.06
化学原料制品,1,120.0,120.0,徐金富,0.06
家禽养殖畜牧,1,120.0,120.0,温鹏程,0.06
食用调味品,1,120.0,120.0,孟庆山,0.06
煤炭、化工,1,120.0,120.0,杨雪岗,0.06
服装、橡胶轮胎、房地产,1,120.0,120.0,周耀庭,0.06
航天,2,117.0,58.5,康永来,0.06
电气设备,2,115.0,57.5,李海周,0.05
涂料,1,115.0,115.0,洪杰,0.05
汽车内饰,1,115.0,115.0,姜银台,0.05
节能灯,1,115.0,115.0,马秀慧,0.05
金融软件,1,115.0,115.0,黄山,0.05
机电设备,2,115.0,57.5,邱敏秀,0.05
建材家居,1,115.0,115.0,黄联禧,0.05
物流地产、投资,1,110.0,110.0,梅志明,0.05
化工、铜加工、电线电缆,1,110.0,110.0,刘洪林,0.05
贸易、房地产,1,110.0,110.0,胡兴荣,0.05
耐火材料、钢铁、矿业,1,110.0,110.0,何著胜,0.05
垃圾发电,1,110.0,110.0,项光明,0.05
化工原料,1,110.0,110.0,张宁,0.05
投资、有色金属,1,110.0,110.0,李明,0.05
SaaS解决方案,1,110.0,110.0,赵绪龙,0.05
矿产、化工,1,110.0,110.0,贺正刚,0.05
信息、金融、投资,1,110.0,110.0,严健军,0.05
畜牧业、教育,2,108.0,54.0,王德根,0.05
房地产、矿产,1,105.0,105.0,张毓强,0.05
电子部件,1,105.0,105.0,王明旺,0.05
智能芯片,1,105.0,105.0,余凯,0.05
制药,1,105.0,105.0,柯尊洪,0.05
智能机器人,1,105.0,105.0,昌敬,0.05
钢铁、投资,1,105.0,105.0,董才平,0.05
钢铁贸易,1,105.0,105.0,何旗,0.05
农副食品加工业,1,105.0,105.0,陈先保,0.05
旅游、房地产,1,105.0,105.0,黄巧灵,0.05
芯片,2,100.0,50.0,孙洪军,0.05
